"_id","tableNo","totalAmount","status","paymentStatus","createdAt"
"6977cb9f73661ad70b27d771","Takeaway",147,"preparing","pending","2026-01-26T20:16:32.001Z"
"6977c7cb73661ad70b27cd9b","T-01",44,"confirm","pending","2026-01-26T20:00:11.292Z"
"6977bc7cd9d5f224b3bd1aac","Room-02",792,"confirm","pending","2026-01-26T19:11:56.859Z"
"6977b245d9d5f224b3bd0093","Room-02",264,"delivered","pending","2026-01-26T18:28:21.066Z"
"6977b10dd9d5f224b3bcfb30","Room-02",1430,"delivered","pending","2026-01-26T18:23:09.551Z"
"6977acf7d9d5f224b3bcec35","Room-02",264,"delivered","pending","2026-01-26T18:05:43.167Z"
"697791b242dc529f476ff6db","room-01",396,"delivered","paid","2026-01-26T16:09:22.163Z"
"69778966f823eb7d0375f364","T-003",396,"preparing","pending","2026-01-26T15:33:58.262Z"
"697785b9f823eb7d0375eb27","T-01",660,"preparing","paid","2026-01-26T15:18:17.410Z"
"6977531eb86798872267d975","tabel-10",252,"preparing","pending","2026-01-26T11:42:22.993Z"
"69774470c94316b780ec569c","table-11",336,"preparing","pending","2026-01-26T10:39:44.875Z"
"6977442cc94316b780ec5511","T-01",132,"preparing","paid","2026-01-26T10:38:36.158Z"
"6977401687e8f038f8de3544","T-01",726,"delivered","paid","2026-01-26T10:21:10.678Z"
"69773fea87e8f038f8de3523","T-01",768.9,"delivered","pending","2026-01-26T10:20:26.440Z"
"69773e60d4f5c24a1e92f91c","T-01",462,"preparing","paid","2026-01-26T10:13:52.630Z"
"697730c0fcdc817904818b8a","table-11",126,"preparing","pending","2026-01-26T09:15:44.044Z"
"69772b39fcdc817904818a31","T-01",132,"preparing","paid","2026-01-26T08:52:09.433Z"
"69772b0ffcdc817904818a18","T-01",132,"preparing","paid","2026-01-26T08:51:27.298Z"
"69772ae0fcdc817904818a00","T-01",132,"delivered","paid","2026-01-26T08:50:40.505Z"
"69772a36fcdc8179048189cd","T-01",132,"preparing","paid","2026-01-26T08:47:50.183Z"
"69772944fcdc817904818997","Table-10",336,"confirm","pending","2026-01-26T08:43:48.344Z"
"69772579fcdc81790481875d","T-01",506,"preparing","paid","2026-01-26T08:27:37.992Z"
"69772540fcdc817904818700","T-01",1166,"preparing","pending","2026-01-26T08:26:40.913Z"
"697712e5713b5cb5ee26238e","T-01",491.7,"delivered","pending","2026-01-26T07:08:21.510Z"
